name,hq,data_filings,median_wage,naics,relevant_title,score
"1 Way Solutions, Inc.","Marietta, GA",1,105000,541511,Sr. Analytics Developer,25.9
"1052 Partners, Inc.","Rosemont, IL",1,,561311,Data Scientist,22.5
1089 INC,"Minneapolis, MN",1,75000,722511,Operations Research Analyst,22.5
10Jumps Inc.,"Chicago, IL",1,89565,541511,Data Engineer,22.5
"113 Innovations, LP","Pittsburgh, PA",1,72000,541613,Data Scientist,22.5
"12 West Capital Management, LP.","New York, NY",1,185000,523920,Data Scientist,44.1
"123 SEE, Inc.","Boston, MA",1,70000,33911,Operations Research Analyst,22.5
13 Scents Inc.,"New York, NY",1,80850,456110,Data Scientist,22.5
1325 FIFTH AVE DRUGS INC.,"Brooklyn, NY",1,91270,456110,Business Analyst,22.8
"180 Multi Family Management, LLC","Arlington, TX",1,104500,531311,Sr. Property Financial Data Analyst,25.8
180 Properties Co LLC,"Arlington, TX",1,104500,531311,Sr. Property Financial Data Analyst,25.8
"1Link Technology, LLC","Germantown, TN",1,108000,541512,Business Analyst,26.6
1st-Recruit LLC,"Wilmington, DE",1,78300,541519,Qa Analyst,22.5
"1WorldSync, Inc.","Chicago, IL",1,123614,54199,Lead Programmer Analyst,30.1
2.	Genco Shipping & Trading Limited,"New York, NY",1,85000,488510,Data Scientist,22.5
2040 WALDEN HOTEL LLC,"Cheektowaga, NY",1,75000,721110,Business Consultant/Analyst,22.5
2060 Digital LLC,"Cincinnati, OH",1,82514,541810,Insights Analyst,22.5
22V Research LLC,"New York, NY",1,120000,523940,Data Analyst/Scientist,29.3
2311 Racing LLC,"Huntersville, NC",1,109000,711219,Data Engineer,26.8
24-Seven Home Care Inc,"Brooklyn Park, MN",1,71400,623311,Business Analyst,22.5
26North Partners LP,"New York, NY",1,250000,523940,Vice President Technology (Data Science Lead),47.5
2K16 Restaurants LLC,"Stratford, CT",1,,722511,Bi Analyst Ii,22.5
"2M Solutions, Inc.","Grand Prairie, TX",1,63003,56162,Market Research Analyst,22.5
"2WJ, LLC","Winston-Salem, NC",1,85000,524210,Business Management Analyst,22.5
340B Technologies Inc.,"Mt. Laurel, NJ",1,,541512,Business Intelligence Analyst-Manager,22.5
360 Management LLC,"Grove City, OH",1,62000,721110,Management Analyst,22.5
360 Print Works,"Irvington, NJ",1,67850,339950,Operations Research Analyst,22.5
3T GC LLC,"Flushing, NY",1,,236220,Market Research Analyst,22.5
3T Services LLC,"Cream Ridge, NJ",1,130000,541519,Data Engineer,31.6
4-Serv Solutions Inc.,"Wixom, MI",1,125000,54151,Big Data Engineer,30.5
460 MRC LLC,"Leesburg, FL",1,62500,623312,Business Analyst,22.5
"48Forty Solutions, LLC","Houston, TX",1,160000,321920,Principal Data Engineering Lead,38.4
"4A Consulting, LLC","Ellicott City, MD",1,83000,541511,Business/Systems Analyst,22.5
4i Apps Solutions LLC,"Germantown, MD",1,85238,541511,Data Scientist,22.5
4Wall AI Inc.,"New York, NY",1,,513210,Data Scientist,22.5
"5 Star Apparel, LLC","New York, NY",1,57000,541490,Market Research Analyst,22.5
"58 Bakery, Inc","Cambridge, MA",1,,722515,Business Analyst,22.5
5Plusone Global Trading LLC,"University City, MO",1,,4581,Operations Data Analyst,22.5
"5x5 Technologies, Inc.","Saint Petersburg, FL",1,110000,541511,Computer And Information Research Scientist,27.0
615 PEO LLC,"Nashville, TN",1,108000,541511,Data Engineer Iii,26.6
7 Kings Code LLC,"Coral Springs, FL",1,,541511,Quality Analyst Automation Test Engineer,22.5
