name,hq,data_filings,median_wage,naics,relevant_title,other_titles,score
"Attentive Mobile, Inc.","New York, NY",20,230500,541613,Senior Machine Learning Engineer,Messaging Strategy & Operations Associate | Senior Data Analyst,80.0
"TORC Robotics, Inc.","Blacksburg, VA",20,175250,541330,Senior Ml Engineer,Senior Machine Learning Engineer | Machine Learning Engineer 2,74.4
"Fluence Energy, LLC","Arlington, VA",16,185906,22112,Analytics & Reporting Lead - Technology - Data & Analytics,Senior Battery Data Engineer | Sap Architect,72.8
Ralph Lauren Corporation,"Nutley, NJ",19,172223,448140,Senior Data Science & Ml Architect,Senior Analyst - Logistics Data & Analytics | Head Of Analytics And Data Science,72.7
Cognitiv Corp,"New York, NY",15,200000,541511,Sr. Machine Learning Research Scientist,Sr. Data Analyst | Campaign Data Analyst,72.0
"Alexion Pharmaceuticals, Inc.","Boston, MA",20,163612,3254,"Senior Manager, Quality Management System Analytics","Quantitative Pharmacology Programmer Analyst | Director, Commercial Data Analytics And Reporting",71.7
The Carlyle Group Employee Co. LLC,"Washington, DC",15,200000,523920,Senior Analyst,Vice President | Associate,70.5
"PathAI, Inc.","Boston, MA",16,188229,54171,Senior Machine Learning Engineer,Translation Science Lead | Machine Learning Engineer Ii,70.3
Standard & Poor's Financial Services LLC,"New York, NY",16,175000,5239,Lead Data Scientist,Machine Learning Engineer | Data Engineer,70.3
Rokt US Corp.,"New York, NY",17,169541,5418,Senior Product Analyst,Senior Software Engineer (Data Platform) | Sales Operations Analyst,70.1
Summit Human Capital,"Richmond, VA",14,180000,561320,Lead Data Engineer,Sr. Data Engineer | Lead Aws Data Engineer,69.5
GE Precision Healthcare LLC,"Waukesha, WI",12,209450,33911,Senior Staff Data Scientist,"Senior Product Manager, Ai | Principal Ai Engineer",69.0
"Rackspace US, Inc.","San Antonio, TX",20,150885,518210,Data Engineer Iii,Data Engineer Iv | Data Science Engineer Iv,68.8
"Valero Services, Inc.","San Antonio, TX",20,150129,324110,Sr Business Intelligence Development Specialist,Business Systems Support Specialist - Commercial Systems | Sr Enterprise System Development Engineering Specialist,68.7
Barclays Capital Inc.,"New York, NY",15,172000,523150,Assistant Vp - Research,"Avp, Market Strats | Director, Statistical Modeling And Development",68.6
"Qorvo US, INC.","Dallas, TX",20,150000,334413,Scm Staff Business Process Analyst,Sr. Ebs It Supply Chain Bsa | Sf Business Analyst,68.6
Viacom International Services Inc.,"New York, NY",20,149263,516210,Senior Data Scientist,Senior Data Engineer | Full Stack Data Application Engineer,68.5
"INSPYR Solutions, LLC","Fort Lauderdale, FL",18,157352,561330,Data Engineer,Data Engineer I | Business Analyst,68.3
"Komodo Health, Inc.","New York, NY",18,157400,541519,Research Consultant,Data Engineer | Senior Data Product Manager,68.3
Lazard Freres & Co. LLC,"New York, NY",15,170000,523150,Data Scientist,"Senior Data Engineer, Fabt | Associate, Ai Engineer",68.2
Popular Bank,"Rosemont, IL",20,146538,522110,Sr. Application Developer/Analyst,Data Engineer | Data Modeler,67.8
The Chamberlain Group LLC,"Oak Brook, IL",19,150000,33391,Lead Data Engineer,Senior Data Engineer | Sr. Business Systems Analyst – Bi Finance,67.6
"Otsuka Pharmaceutical Development & Commercialization, Inc.","Princeton, NJ",13,175000,32541,"Senior Manager, Statistical Programming","Director, Global Value Evidence Strategy | Sr. Manager, Statistical Programming",67.3
Oscar Management Corporation,"New York, NY",12,178721,524210,Senior Data Scientist,Data Scientist | Senior Site Reliability Engineer I,67.2
"Flexible Finance, Inc.","New York, NY",10,215000,541511,Staff Data Scientist,"Senior Staff Analytics Engineer | Decision Scientist, Fraud Risk",67.0
"Verana Health, Inc.","Knoxville, TN",18,151000,541519,Data Engineer,Clinical Data Normalization Analyst | Data Engineering Manager,66.9
"Circle Internet Financial, LLC","Boston, MA",13,178000,522320,Data Scientist Ii,Staff Data Engineer | Senior Data Engineer,66.5
"Crunchyroll, LLC","Coppell, TX",11,187000,516210,Senior Data Engineer,Senior Analytics Engineer | Senior Marketing Science Analyst,66.5
"BAIN & COMPANY, INC.","Boston, MA",11,199151,541611,"Lead, Data Engineering","Senior Machine Learning Engineer | Expert Senior Manager, Machine Learning Engineering",66.3
Caerus US 1 Inc.,"New York, NY",18,147500,513210,Data Intelligence Manager,Data Scientist | Rwd Solution Architect,66.1
"Therapymatch, Inc.","New York, NY",13,169541,513210,Senior Data Engineer,"Data Engineering Manager | Senior Associate, Operations",66.1
"CarGurus, Inc.","Cambridge, MA",20,138500,511210,Business Analytics Analyst,Senior Business Analytics Analyst | Principal Product Manager,66.0
"Runway AI, Inc.","New York, NY",12,240000,513210,"Member Of Technical Staff, Applied Research","Member Of Technical Staff | Member Of Technical Staff, Ml Optimization",66.0
"Tailored Shared Services, LLC","Houston, TX",18,147100,45811,Senior Data Engineer,"Data Analyst, Marketing | Director, Field Analytics",66.0
"Metropolis Employee Services, LLC","Nashville, TN",12,172151,541511,Senior Data Engineer Ii,Senior Analytics Product Owner Ii | Machine Learning Engineer,65.7
"AT&T MOBILITY SERVICES, LLC","Dallas, TX",17,156282,517410,Lead Advanced Analytics,Senior-Advanced Analytics | Principal Data/Ai Engineering,65.6
"Discovery Communications, LLC","New York, NY",19,141170,515120,Senior Data Engineer,Data Engineer Ii | Senior Data Scientist,65.6
Benjamin Moore & Co.,"Montvale, NJ",18,145000,325510,Sap Systems Analyst - Warehouse Management Systems,Sap System Analyst - Procure To Pay (Ptp) | Market Research Manager,65.5
"CMI Marketing, Inc.","New York, NY",15,157547,54189,"Data Scientist, Seo Services & Strategy",Senior Performance Analyst (Marketing Analyst) | Sr. Data & Analytics Developer,65.4
NOVELIS Corporation,"Atlanta, GA",18,143500,331313,Data Engineer,Sr. Data Scientist | Lead Machine Learning Ops Developer,65.2
GoBrands Inc.,"Philadelphia, PA",11,247500,454110,Director Of Data Science,Senior Data Scientist - Advertising Technology (Adtech) | Senior Data Engineer,65.0
Cars.com,"Chicago, IL",18,142307,518210,"Sr. Manager, Data Science",Data Engineer Iii | Data Engineer I,64.9
Federal National Mortgage Association,"Washington, DC",18,149000,522292,Enterprise Data - Data Engineering - Senior Associate,Financial Engineering - Lead Associate | Enterprise Data - Software Engineering - Senior Associate,64.9
"Academy, LTD","Katy, TX",20,132955,451110,Engineer Sr. Data It Middleware,Sr. Data Engineer It Customer Data And Marketing | Sr. It Business Intelligence Data Engineer,64.8
"Move Sales, Inc","Austin, TX",13,163859,531390,"Data Scientist, Staff",Data Scientist | Senior Director Of Data,64.8
"Afiniti, Inc.","Washington, DC",17,145975,518210,Senior Data Scientist,Data Scientist Ii | Sr. Data Scientist,64.7
Incyte Corporation,"Wilmington, DE",20,132500,325412,Principal Biostatistician,Principal Biostatistical Programmer | Senior Principal Biostatistician,64.7
American Eagle Outfitters Inc.,"Pittsburgh, PA",18,140820,4481,Senior Business Systems Analyst,Senior Product Manager | Associate Product Manager,64.5
"Munich Re America Services, Inc.","Princeton, NJ",14,158250,524130,Technical Data Specialist,Data Engineer | Sr. Data Analytics Architect,64.5
"VF SERVICES, LLC","Greensboro, NC",17,145000,31499,Senior Data Engineer - Kbgfjg87822-6,Senior Data Engineer - Kbgfjg132961-3 | Product Owner – Sap S4/Hana Finance   - Kbgfjg273450-1,64.5
Vista Tech LLC,"Fort Lauderdale, FL",16,149360,541511,"Program Manager, Data And Analytics","Lead Data Engineer | Senior Product Manager, Data",64.5
"Foot Locker Corporate Services, Inc.","New York, NY",20,131480,451110,"Sr. Engineer, Data & Analytics","Senior Engineer, Data & Analytics | Senior Data Scientist",64.4
"SimpliSafe, Inc.","Boston, MA",15,153303,334290,Senior Computer Vision/Ai Engineer,Senior Database Engineer | Machine Learning Engineer Ii,64.4
"Amadeus North America, Inc.","Doral, FL",20,130500,511210,Technical Business Analyst,Principal Solution Definition Analyst | Senior Technical Business Analyst,64.2
"BeOne Medicines USA, Inc.","Cambridge, MA",11,170277,541714,Sr Biostatistician,"Associate Director, Digital Clinical Ops - Data Analytics | Sr. Manager, Global Forecasting",64.2
Cintas Corporation,"Mason, OH",20,130270,812332,Sap Functional Analyst-Level 3,Sap Functional Analyst-Level 3-Fico | Sap Functional Analyst - Level 3 - Vistek,64.2
"DIGIPULSE TECHNOLOGIES, INC.","Cherry Hill, NJ",19,135000,54151,Systems Analyst,Data Engineer | Database Administrator,64.2
Janssen Pharmaceuticals Inc,"New Brunswick, NJ",11,170000,32541,"Manager, Ai Products","Mgr., Integrated Analytics, Commercial Insights & Strategy | Manager, Pecs Cis Integrated Analytics – Immunology",64.2
The New York Times Company,"New York, NY",15,152292,51111,Data Engineer,"Executive Director, Data Scientist | Senior Data Scientist",64.2
"Infor (US), LLC","New York, NY",19,134493,541511,Scientist,Senior Consultant | Science Solution Manager,64.1
"SS&C Technologies, Inc.","Windsor, CT",18,138573,511210,Senior Business Analyst [00067739],Senior Data Engineer [00067654] | Senior Model Architect [00066993],64.0
NCR Voyix Corporation,"Atlanta, GA",20,128567,5415,Data Engineering Senior Manager,Senior Solution Owner | Ps Technical Consultant Iv,63.8
"SG Americas Securities, LLC","New York, NY",11,175000,523150,Senior Business Analyst,Trader | Business Analyst,63.8
Acxiom LLC,"Conway, AR",14,153610,518210,Sr Data Engineer,Expert Solution Architect (Pega) | Solution Architect,63.5
"Overjet, Inc.","Boston, MA",8,199400,541511,Machine Learning Engineer Ii,Director Of Strategy And Operations | Senior Machine Learning Scientist,63.4
Liberty Mutual Insurance Company,"Boston, MA",17,139194,524126,"Asst Dir, Data Science (Stp)","Director I, Data Science (Stp) | Sr Data Solutions Analyst",63.2
"NXP USA, INC.","Austin, TX",19,130687,334413,Data Scientist,Data Engineer | Supply Chain Analyst,63.2
PTC Inc.,"Boston, MA",20,125879,511210,"Business Analyst, Principal","Principal Consultant | Data Engineer, Senior",63.2
"Cloud Software Group, Inc.","Fort Lauderdale, FL",19,130000,541511,Lead Data Engineer,Senior Data Engineer | Principal Analyst - Bi/Data Management,63.1
"NRG Energy, Inc.","Houston, TX",20,125690,926130,Sap Analyst,"Digital Documentum Systems Engineer | Manager, Go To Market Strategy",63.1
"Mohawk Industries, Inc.","Calhoun, GA",18,133806,326150,Senior Business Intelligence Specialist,Senior Sap Analyst | Sap Functional Lead Analyst - Ibp,63.0
Voya Services Company,"New York, NY",20,125000,525910,Associate Business Analyst,Sr. Database Specialist | Senior Business Analyst,63.0
"Hinge, Inc.","New York, NY",8,190750,541613,"Data Scientist, User Safety","Senior Machine Learning Engineer, Dating Outcomes | Data Engineer",62.9
Mizuho Americas Services LLC,"New York, NY",14,151000,523110,"Vice President, Etl Engineer",Vice President | Director (Axiom Technical Lead),62.9
Schonfeld Strategic Advisors LLC,"New York, NY",8,197500,523920,Quantitative Developer,Product Manager Clb & Algos | Data Scientist,62.9
Corning Incorporated,"Corning, NY",17,137046,32721,"Software Engineer, Data Engineering","It Technical Leader, Value Acceleration | Sr. Data Engineer",62.7
"Cedar Cares, Inc.","New York, NY",9,185000,524114,Staff Data Engineer,Solutions Architect | Sr. Product Manager,62.6
QlikTech Inc.,"King Of Prussia, PA",20,123500,541511,Senior Financial Applications Analyst,Senior Technical Support Engineer | Senior Professional Services Consultant,62.6
DoubleVerify Inc.,"New York, NY",13,153962,541511,"Data Engineer, Social Integrations",Data Engineer | Sr. Data Engineer,62.5
"Softworld, Inc.","Waltham, MA",12,158000,541512,Data Engineer,"Manager Statistical Programming | Senior Manager, Statistical Programming",62.5
"SuccessFactors, Inc.","Newtown Square, PA",13,153936,54151,Data Scientist,It Technology Services Expert | Business Processes Principal Consultant,62.5
"Ulta, Inc.","Bolingbrook, IL",16,140000,446120,"Senior Developer, Sap Data Services (Bods)","Senior It Analyst, Order Management System | Senior It Analyst, Order Management Systems",62.4
Ericsson Inc.,"Plano, TX",16,139831,33422,Data Scientist,Ict Architect (Principle Data Engineer) 8728669 | Developer (Applied Research Engineer),62.3
"HF Management Services, LLC","New York, NY",16,139849,524114,Data Engineer,Information Owner | Marketing Database Tech Manager,62.3
"Southern Glazer's Wine and Spirits, LLC","Miramar, FL",19,126298,4248,"Principal Solution Analyst, Human Capital Management",Data Scientist | Commercial Strategy Analyst,62.2
"Pluto, Inc.","New York, NY",14,147854,516210,"Business Intelligence Analyst, Content And Programming",Sr Data Engineer | Data Scientist,62.1
"Wawa, Inc.","Wawa, PA",14,147533,445120,Bi Developer,Lead Data Engineer | Associate Data Engineer,62.1
"Genmab US, Inc.","Plainsboro, NJ",9,175781,541714,"Senior Manager, Data Science Strategy And Operations","Senior Scientist, Commercial Data Science | Data Engineer, Bioinformatics",62.0
Sony Corporation of America,"New York, NY",14,146714,334111,"Security & Business Analyst, Operations","Analyst, Security | Sr. Research Engineer",61.9
"Dexian, LLC","Mclean, VA",11,159600,5416,Senior Data Analyst,Analytics Consultant 5 | Technical Lead,61.8
"Dun & Bradstreet, Inc.","Jacksonville, FL",15,141831,51919,Senior Data Engineer,Data Scientist | Principal Data Engineer,61.8
Grainger Corporate Services LLC,"Lake Forest, IL",19,144264,423990,Data Engineer,Senior Engineering Business Analyst | Senior Applied Machine Learning Scientist,61.8
"James Hardie Building Products, Inc.","Chicago, IL",20,119863,327420,Programmer Analyst Ii- Sr. Integration Engineer,Data Integration Engineer | Programmer Analyst Ii - Sr Integration Engineer,61.8
"Kontoor Services, LLC","Greensboro, NC",17,133256,31499,Crm Analyst,"Sap Master Data Governance Sr Configuration Analyst | Sr Analyst, Sap Otc Configuration",61.8
"NextEra Energy Resources, LLC","Juno Beach, FL",15,140000,551112,Principal It Programmer Analyst,Principal It Business Systems Analyst | Principal It Erp Business Systems Analyst,61.4
Kiewit Corporation,"Omaha, NE",18,126419,237120,Data Analyst,"Sr. Sap Functional Analyst | Software Engineer, Data Engineering",61.3
Valtech Solutions LLC,"Plano, TX",13,148699,541512,Data Scientist,Senior Ux Researcher | Business Analyst,61.3
Exact Sciences Corporation,"Madison, WI",14,150340,621511,Sr Programmer Analyst - Ghi,"Sr Engineer I, Data | Clinical Data Manager",61.2
"Syntax Systems USA, LP","Morrisville, NC",14,143775,541511,Business Intelligence Application Engineer,Principal System Analyst | Associate Oracle Database Administrator,61.2
"TORY BURCH, LLC","New York, NY",16,134753,44812,Senior Data Engineer,Principal Engineer | Senior Business Analyst,61.2
Deere & Company,"Moline, IL",17,130000,33311,It Data Analytics Engineer,Senior Software Analyst | Senior Data Engineer,61.1
Finco Services Inc,"New York, NY",7,214000,522320,Lead Data Scientist,Data Analyst | Marketing Strategy And Operations Manager,61.0
"NABORS CORPORATE SERVICES, INC.","Houston, TX",18,125250,213112,Senior Systems Analyst,"Business Analyst, Erp Hr Systems | Senior Business Analyst Erp",61.0
